airport_name,iata_code,country_code,city,airport_type,latitude,longitude
Ocean Reef Club Airport,OCA,US,Key Largo,medium_airport,25.325399,-80.274803
Aleknagik / New Airport,WKK,US,Aleknagik,medium_airport,59.2826004028,-158.617996216
Burton-Nibbs International Airport,BBQ,AG,Codrington,medium_airport,17.621194,-61.798347
Honiara International Airport,HIR,SB,Honiara,large_airport,-9.428,160.054993
Munda Airport,MUA,SB,Munda,medium_airport,-8.32797,157.263
(Duplicate)Vlora International Airport,VLO,AL,Vlorë,large_airport,40.605556,19.426111
Nauru International Airport,INU,NR,Yaren,medium_airport,-0.547893,166.919525
(Duplicate)Wolf's Fang Runway,WFR,AQ,Queen Maud Island,medium_airport,-71.5264,8.799459
Alxa Left Banner Bayanhot Airport,AXF,CN,Bayanhot,medium_airport,38.748317,105.58416
Baimuru Airport,VMU,PG,Baimuru,medium_airport,-7.496955,144.821756
Buka Airport,BUA,PG,Buka Island,medium_airport,-5.422299,154.672698
Balimo Airport,OPU,PG,Balimo,medium_airport,-8.05000019073,142.932998657
Chimbu Airport,CMU,PG,Kundiawa,medium_airport,-6.024290084838867,144.9709930419922
Daru Airport,DAU,PG,Daru,medium_airport,-9.08676,143.207993
Goroka Airport,GKA,PG,Goronka,medium_airport,-6.081689834590001,145.391998291
Gurney Airport,GUR,PG,Gurney,medium_airport,-10.3114995956,150.333999634
Girua Airport,PNP,PG,Popondetta,medium_airport,-8.80453968048,148.309005737
Hoskins Airport,HKN,PG,Kimbe,medium_airport,-5.463846,150.407327
Kerema Airport,KMA,PG,Kerema,medium_airport,-7.96361017227,145.770996094
Kavieng Airport,KVG,PG,Kavieng,medium_airport,-2.57940006256,150.807998657
Madang Airport,MAG,PG,Madang,medium_airport,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,HGU,PG,Mount Hagen,medium_airport,-5.828212,144.299412
Mendi Airport,MDU,PG,Mendi,medium_airport,-6.14774,143.656998
Momote Airport,MAS,PG,Manus Island,medium_airport,-2.06189,147.423996
Nadzab Tomodachi International Airport,LAE,PG,Lae,large_airport,-6.567995,146.726544
Port Moresby Jacksons International Airport,POM,PG,Port Moresby,large_airport,-9.44338035583496,147.22000122070312
Tokua Airport,RAB,PG,Kokopo,medium_airport,-4.34046,152.380005
Vanimo Airport,VAI,PG,Vanimo,medium_airport,-2.6926,141.3028
Wapenamanda Airport,WBM,PG,Wapenamanda,medium_airport,-5.635293,143.892231
Wewak International Airport,WWK,PG,Wewak,medium_airport,-3.58383011818,143.669006348
Zabrat Airport,ZXT,AZ,Zabrat,medium_airport,40.494884,49.977065
Benguera Island Airport,BCW,MZ,Benguera Island,medium_airport,-21.8533,35.438301
Bezmer Air Base,JAM,BG,Bezmer,medium_airport,42.454899,26.3522
Aasiaat Airport,JEG,GL,Aasiaat,medium_airport,68.721802,-52.784698
Narsarsuaq Airport,UAK,GL,Narsarsuaq,medium_airport,61.1605,-45.425999
Neerlerit Inaat Airport,CNP,GL,Neerlerit Inaat,medium_airport,70.743103,-22.650499
Nuuk International Airport,GOH,GL,Nuuk,large_airport,64.191066,-51.67914
Ilulissat Airport,JAV,GL,Ilulissat,medium_airport,69.243202,-51.057098
Kulusuk Airport,KUS,GL,Kulusuk,medium_airport,65.573601,-37.1236
Qaanaaq Airport,NAQ,GL,Qaanaaq,medium_airport,77.488602,-69.388702
Kangerlussuaq International Airport,SFJ,GL,Kangerlussuaq,medium_airport,67.010446,-50.715294
Sisimiut Airport,JHS,GL,Sisimiut,medium_airport,66.951302,-53.729301
Pituffik Space Base,THU,GL,Pituffik,medium_airport,76.53063,-68.700541
Akureyri International Airport,AEY,IS,Akureyri,large_airport,65.656573,-18.072018
Bildudalur Airport,BIU,IS,Bildudalur,medium_airport,65.641296,-23.5462
Egilsstaðir Airport,EGS,IS,Egilsstaðir,medium_airport,65.2833023071289,-14.401399612426758
Grímsey Airport,GRY,IS,Grímsey/Sandvík,medium_airport,66.5458,-18.0173
Hornafjörður Airport,HFN,IS,Höfn,medium_airport,64.295601,-15.2272
Húsavík Airport,HZK,IS,Húsavík,medium_airport,65.952301,-17.426001
Ísafjörður Airport,IFJ,IS,Ísafjörður,medium_airport,66.058098,-23.1353
Keflavik International Airport,KEF,IS,Reykjavík,large_airport,63.985001,-22.6056
Reykjavík Domestic Airport,RKV,IS,Reykjavík,medium_airport,64.128732,-21.93759
Mývatn Airport,MVA,IS,Myvatn,medium_airport,65.6558,-16.9181
Siglufjörður Airport,SIJ,IS,Siglufjörður,medium_airport,66.137847,-18.908157
Vestmannaeyjar Airport,VEY,IS,Vestmannaeyjar,medium_airport,63.42430114746094,-20.278900146484375
Vopnafjörður Airport,VPN,IS,Vopnafjörður,medium_airport,65.720596,-14.8506
Priština Adem Jashari International Airport,PRN,XK,Prishtina,large_airport,42.5728,21.035801
Glauber de Andrade Rocha Airport,VDC,BR,Vitória da Conquista,medium_airport,-14.907885,-40.914804
Betong International Airport,BTZ,TH,Betong,medium_airport,5.79,101.15
Orsha Airport - Balbasovo Air Base,TXC,BY,Orsha,medium_airport,54.439999,30.2967
Caye Caulker Airport,CUK,BZ,Caye Caulker,medium_airport,17.735015,-88.032862
Caye Chapel Airport,CYC,BZ,Caye Chapel,medium_airport,17.683792,-88.044985
Corozal Airport,CZH,BZ,Corozal,medium_airport,18.3822,-88.411903
Dangriga Airport,DGA,BZ,Dangriga,medium_airport,16.98251,-88.230988
Sartaneja Airport,SJX,BZ,Sartaneja,medium_airport,18.3561,-88.130798
John Greif II Airport,SPR,BZ,San Pedro,medium_airport,17.9139,-87.9711
Sir Barry Bowen Municipal Airport,TZA,BZ,Belize City,medium_airport,17.517239,-88.195775
Bazaruto Island Airport,BZB,MZ,Bazaruto Island,medium_airport,-21.5411,35.4729
Anahim Lake Airport,YAA,CA,Anahim Lake,medium_airport,52.451501,-125.303776
Qualicum Beach Airport,XQU,CA,Qualicum Beach,medium_airport,49.337456,-124.393086
Cache Creek-Ashcroft Regional Airport,YZA,CA,Cache Creek,medium_airport,50.775258,-121.321314
Bella Bella (Campbell Island) Airport,ZEL,CA,Bella Bella,medium_airport,52.185001,-128.156994
Bazhong Enyang Airport,BZX,CN,Bazhong,medium_airport,31.73842,106.644872
Shaoguan Danxia Airport,HSC,CN,Shaoguan,medium_airport,24.9786,113.420998
Jinggangshan Airport,JGS,CN,Ji'an,medium_airport,26.856899,114.737
Jiaxing Nanhu Airport,JNH,CN,"Xiuzhou, Hangzhou",medium_airport,30.698056,120.663056
Wuhan Hannan Municipal Airport,WHN,CN,Wuhan (Hannan),medium_airport,30.25521,114.062805
Rikaze Dingri Airport,DDR,CN,Xigazê (Dingri),medium_airport,28.604567,86.798
Tashikuergan Hongqilafu Airport,HQL,CN,Tashikuergan,medium_airport,37.661333,75.288877
Jiande Qiandaohu General Airport,JDE,CN,Hangzhou,medium_airport,29.360905,119.180829
Ali Pulan Airport,APJ,CN,Burang Town,medium_airport,30.397898,81.13317
Zhaotong Zhaoyang Airport （Not fully opened),ZAT,CN,Zhaotong,medium_airport,27.205843,103.691511
Bengbu Tenghu Airport,BFY,CN,Bengbu,medium_airport,33.166292,117.058344
Fort Frances Municipal Airport,YAG,CA,Fort Frances,medium_airport,48.655749,-93.44349
La Grande-4 Airport,YAH,CA,La Grande-4,medium_airport,53.754699707,-73.6753005981
Sault Ste Marie Airport,YAM,CA,Sault Ste Marie,medium_airport,46.483216,-84.508467
Kasabonika Airport,XKS,CA,Kasabonika,medium_airport,53.52470016479492,-88.6427993774414
St. Anthony Airport,YAY,CA,St. Anthony,medium_airport,51.391909,-56.08321
Tofino / Long Beach Airport,YAZ,CA,Tofino,medium_airport,49.079833,-125.775583
Baie-Comeau Airport,YBC,CA,Baie-Comeau,medium_airport,49.1325,-68.204399
Bella Coola Airport,QBC,CA,Bella Coola,medium_airport,52.387501,-126.596001
Bonnyville Airport,YBY,CA,Bonnyville,medium_airport,54.304199,-110.744003
Saguenay-Bagotville Airport,YBG,CA,Saguenay,medium_airport,48.330123,-70.992012
Baker Lake Airport,YBK,CA,Baker Lake,medium_airport,64.29889678960001,-96.077796936
Campbell River Airport,YBL,CA,Campbell River,medium_airport,49.950802,-125.271004
Brandon Municipal Airport,YBR,CA,Brandon,medium_airport,49.91,-99.951897
Lourdes-de-Blanc-Sablon Airport,YBX,CA,Blanc-Sablon,medium_airport,51.4436,-57.185299
Cambridge Bay Airport,YCB,CA,Cambridge Bay,medium_airport,69.1081008911,-105.138000488
Cornwall Regional Airport,YCC,CA,Cornwall,medium_airport,45.092637,-74.567724
Nanaimo Airport,YCD,CA,Nanaimo,medium_airport,49.05497,-123.869863
Centralia / James T. Field Memorial Aerodrome,YCE,CA,Huron Park,medium_airport,43.285599,-81.508301
Castlegar/West Kootenay Regional Airport,YCG,CA,Castlegar,medium_airport,49.296398,-117.632004
Miramichi Airport,YCH,CA,Miramichi,medium_airport,47.007801,-65.449203
Charlo Airport,YCL,CA,Charlo,medium_airport,47.990799,-66.330299
Cochrane Airport,YCN,CA,Cochrane,medium_airport,49.10559844970703,-81.01360321044922
Chetwynd Airport,YCQ,CA,Chetwynd,medium_airport,55.687198638916016,-121.6269989013672
Dawson City Airport,YDA,CA,Dawson City,medium_airport,64.04309844970703,-139.1280059814453
Burwash Airport,YDB,CA,Burwash Landing,medium_airport,61.371101,-139.041
Deer Lake Airport,YDF,CA,Deer Lake,medium_airport,49.208159,-57.396147
Ross River Airport,XRR,CA,Ross River,medium_airport,61.9706001282,-132.42300415
Dauphin Barker Airport,YDN,CA,Dauphin,medium_airport,51.1008,-100.052002
Dolbeau-Saint-Felicien Airport,YDO,CA,Dolbeau-Saint-Felicien,medium_airport,48.7785,-72.375
Dawson Creek Airport,YDQ,CA,Dawson Creek,medium_airport,55.741245,-120.183263
Edmonton International Airport,YEG,CA,Edmonton,large_airport,53.3097,-113.580002
Elliot Lake Municipal Airport,YEL,CA,Elliot Lake,medium_airport,46.351398468,-82.5614013672
Manitoulin East Municipal Airport,YEM,CA,Sheguiandah,medium_airport,45.842435,-81.857595
Estevan Airport,YEN,CA,Estevan,medium_airport,49.2103004456,-102.966003418
Edson Airport,YET,CA,Edson,medium_airport,53.578899383499994,-116.464996338
Inuvik Mike Zubko Airport,YEV,CA,Inuvik,medium_airport,68.30419921880001,-133.483001709
Amos/Magny Airport,YEY,CA,Amos,medium_airport,48.563903,-78.249702
Iqaluit Airport,YFB,CA,Iqaluit,medium_airport,63.756402,-68.555801
Fredericton International Airport,YFC,CA,Fredericton,medium_airport,45.868697,-66.529891
Forestville Airport,YFE,CA,Forestville,medium_airport,48.74610137939453,-69.09719848632812
Mont-Tremblant International Airport,YTM,CA,La Macaza,medium_airport,46.409401,-74.779999
Fort Resolution Airport,YFR,CA,Fort Resolution,medium_airport,61.1808013916,-113.690002441
Fort Simpson Airport,YFS,CA,Fort Simpson,medium_airport,61.76020050048828,-121.23699951171876
Kingston Norman Rogers Airport,YGK,CA,Kingston,medium_airport,44.2253,-76.596901
La Grande Rivière Airport,YGL,CA,La Grande Rivière,medium_airport,53.625301361083984,-77.7042007446289
Gimli Industrial Park Airport,YGM,CA,Gimli,medium_airport,50.62810134887695,-97.04329681396484
Michel-Pouliot Gaspé Airport,YGP,CA,Gaspé,medium_airport,48.774915,-64.481893
Geraldton Greenstone Regional Airport,YGQ,CA,Geraldton,medium_airport,49.77830123901367,-86.93939971923828
Îles-de-la-Madeleine Airport,YGR,CA,Les Îles-de-la-Madeleine,medium_airport,47.425242,-61.778612
Havre-Saint-Pierre Airport,YGV,CA,Havre-Saint-Pierre,medium_airport,50.281898,-63.611401
